    0.0928    0.6927    0.4508    0.0784    0.5915    0.6649
    0.0353    0.0841    0.7159    0.6408    0.1197    0.8704
    0.6124    0.4544    0.8928    0.1909    0.0381    0.0099
    0.6085    0.4418    0.2731    0.8439    0.4586    0.1370
    0.0158    0.3533    0.2548    0.1739    0.8699    0.8188
    0.0164    0.1536    0.8656    0.1708    0.9342    0.4302
    0.1901    0.6756    0.2324    0.9943    0.2644    0.8903
    0.5869    0.6992    0.8049    0.4398    0.1603    0.7349
    0.0576    0.7275    0.9084    0.3400    0.8729    0.6873
    0.3676    0.4784    0.2319    0.3142    0.2379    0.3461
    0.6315    0.5548    0.2393    0.3651    0.6458    0.1660
    0.7176    0.1210    0.0498    0.3932    0.9669    0.1556
